 Seq       Date      Y1     Y2      X  Put_Premium
  60 2024-03-22  -90.61 -44.56 170.83        91.69
  61 2024-03-25  -88.81 -44.14 172.63        90.31
  62 2024-03-26  -83.77 -42.84 177.67        86.57
  63 2024-03-27  -81.61 -42.28 179.83        84.98
  64 2024-03-28  -85.65 -43.41 175.79        87.88
  65 2024-04-01  -86.22 -43.59 175.22        88.27
  66 2024-04-02  -94.81 -45.69 166.63        94.76
  67 2024-04-03  -93.06 -45.32 168.38        93.38
  68 2024-04-04  -90.33 -44.70 171.11        91.26
  69 2024-04-05  -96.54 -46.13 164.90        96.05
  70 2024-04-08  -88.46 -44.31 172.98        89.79
  71 2024-04-09  -84.56 -43.35 176.88        86.85
  72 2024-04-10  -89.68 -44.66 171.76        90.66
  73 2024-04-11  -86.84 -44.00 174.60        88.49
  74 2024-04-12  -90.39 -44.88 171.05        91.15
  75 2024-04-15  -99.96 -46.93 161.48        98.67
  76 2024-04-16 -104.33 -47.74 157.11       102.23
  77 2024-04-17 -105.99 -48.03 155.45       103.60
  78 2024-04-18 -111.51 -48.89 149.93       108.25
  79 2024-04-19 -114.39 -49.29 147.05       110.73
  80 2024-04-22 -119.39 -49.91 142.05       115.12
  81 2024-04-23 -116.76 -49.59 144.68       112.80
  82 2024-04-24  -99.31 -46.92 162.13        98.03
  83 2024-04-25  -91.26 -45.31 170.18        91.59
  84 2024-04-26  -93.15 -45.74 168.29        93.05
  85 2024-04-29  -67.39 -38.95 194.05        74.09
  86 2024-04-30  -78.16 -42.20 183.28        81.61
  87 2024-05-01  -81.45 -43.10 179.99        83.99
  88 2024-05-02  -81.43 -43.14 180.01        83.94
  89 2024-05-03  -80.25 -42.87 181.19        83.03
  90 2024-05-06  -76.68 -41.96 184.76        80.37
  91 2024-05-07  -83.63 -43.79 177.81        85.49
  92 2024-05-08  -86.72 -44.55 174.72        87.82
  93 2024-05-09  -89.47 -45.18 171.97        89.93
  94 2024-05-10  -92.97 -45.93 168.47        92.68
  95 2024-05-13  -89.55 -45.25 171.89        89.94
  96 2024-05-14  -83.89 -44.02 177.55        85.51
  97 2024-05-15  -87.45 -44.86 173.99        88.23
  98 2024-05-16  -86.60 -44.70 174.84        87.54
  99 2024-05-17  -83.98 -44.14 177.46        85.48
 100 2024-05-20  -86.49 -44.74 174.95        87.40
 101 2024-05-21  -74.84 -41.94 186.60        78.55
 102 2024-05-22  -81.33 -43.63 180.11        83.35
 103 2024-05-23  -87.70 -45.09 173.74        88.26
 104 2024-05-24  -82.20 -43.91 179.24        83.94
 105 2024-05-28  -84.69 -44.50 176.75        85.83
 106 2024-05-29  -85.25 -44.66 176.19        86.24
 107 2024-05-30  -82.65 -44.12 178.79        84.18
 108 2024-05-31  -83.36 -44.31 178.08        84.70
 109 2024-06-03  -85.15 -44.73 176.29        86.06
 110 2024-06-04  -86.67 -45.08 174.77        87.24
 111 2024-06-05  -86.44 -45.06 175.00        87.02
 112 2024-06-06  -83.50 -44.48 177.94        84.67
 113 2024-06-07  -83.96 -44.61 177.48        85.00
 114 2024-06-10  -87.65 -45.39 173.79        87.90
 115 2024-06-11  -90.78 -46.01 170.66        90.42
 116 2024-06-12  -84.15 -44.75 177.29        85.05
 117 2024-06-13  -78.97 -43.65 182.47        80.97
 118 2024-06-14  -83.43 -44.67 178.01        84.41
 119 2024-06-17  -74.00 -42.55 187.44        77.10
 120 2024-06-18  -76.58 -43.22 184.86        79.01
 121 2024-06-20  -79.87 -44.01 181.57        81.51
 122 2024-06-21  -78.43 -43.73 183.01        80.35
 123 2024-06-24  -78.86 -43.87 182.58        80.64
 124 2024-06-25  -74.09 -42.81 187.35        76.94
 125 2024-06-26  -65.07 -40.49 196.37        70.24
 126 2024-06-27  -64.02 -40.25 197.42        69.43
 127 2024-06-28  -63.56 -40.18 197.88        69.04
 128 2024-07-01  -51.58 -36.45 209.86        60.80
 129 2024-07-02  -30.18 -28.00 231.26        47.87
 130 2024-07-03  -15.05 -20.72 246.39        40.02
 131 2024-07-05   -9.92 -18.10 251.52        37.52
 132 2024-07-08   -8.50 -17.44 252.94        36.76
 133 2024-07-09    0.89 -12.18 262.33        32.63
 134 2024-07-10    1.82 -11.75 263.26        32.13
 135 2024-07-11  -20.41 -24.03 241.03        42.07
 136 2024-07-12  -13.21 -20.47 248.23        38.44
 137 2024-07-15   -8.80 -18.21 252.64        36.28
 138 2024-07-16   -4.88 -16.16 256.56        34.43
 139 2024-07-17  -12.94 -20.69 248.50        37.95
 140 2024-07-18  -12.21 -20.43 249.23        37.48
 141 2024-07-19  -22.24 -25.62 239.20        42.32
 142 2024-07-22   -9.93 -19.46 251.51        36.18
 143 2024-07-23  -15.06 -22.29 246.38        38.47
 144 2024-07-24  -45.45 -35.66 215.99        55.47
 145 2024-07-25  -41.19 -34.19 220.25        52.69
 146 2024-07-26  -41.64 -34.46 219.80        52.87
 147 2024-07-29  -29.34 -29.57 232.10        45.46
 148 2024-07-30  -38.82 -33.59 222.62        50.92
 149 2024-07-31  -29.37 -29.82 232.07        45.25
 150 2024-08-01  -44.58 -35.92 216.86        54.35
 151 2024-08-02  -53.77 -39.01 207.67        60.44
 152 2024-08-05  -62.56 -41.53 198.88        66.71
 153 2024-08-06  -60.80 -41.14 200.64        65.33
 154 2024-08-07  -69.68 -43.32 191.76        72.03
 155 2024-08-08  -62.60 -41.74 198.84        66.54
 156 2024-08-09  -61.44 -41.52 200.00        65.60
 157 2024-08-12  -63.95 -42.20 197.49        67.42
 158 2024-08-13  -53.61 -39.54 207.83        59.75
 159 2024-08-14  -60.06 -41.38 201.38        64.36
 160 2024-08-15  -47.30 -37.79 214.14        55.20
 161 2024-08-16  -45.32 -37.24 216.12        53.78
 162 2024-08-19  -38.72 -35.04 222.72        49.38
 163 2024-08-20  -40.34 -35.73 221.10        50.31
 164 2024-08-21  -38.17 -35.06 223.27        48.81
 165 2024-08-22  -50.78 -39.32 210.66        57.15
 166 2024-08-23  -41.12 -36.33 220.32        50.49
 167 2024-08-26  -48.23 -38.75 213.21        55.18
 168 2024-08-27  -52.23 -40.01 209.21        57.91
 169 2024-08-28  -55.69 -41.03 205.75        60.35
 170 2024-08-29  -55.16 -40.97 206.28        59.88
 171 2024-08-30  -47.33 -38.87 214.11        54.16
 172 2024-09-03  -50.84 -39.98 210.60        56.55
 173 2024-09-04  -42.03 -37.41 219.41        50.33
 174 2024-09-05  -31.27 -33.65 230.17        43.34
 175 2024-09-06  -50.71 -40.23 210.73        56.18
 176 2024-09-09  -45.17 -38.73 216.27        52.15
 177 2024-09-10  -35.27 -35.54 226.17        45.45
 178 2024-09-11  -33.31 -34.95 228.13        44.08
 179 2024-09-12  -31.63 -34.45 229.81        42.91
 180 2024-09-13  -31.15 -34.40 230.29        42.48
 181 2024-09-16  -34.66 -35.83 226.78        44.55
 182 2024-09-17  -33.57 -35.57 227.87        43.73
 183 2024-09-18  -34.24 -35.95 227.20        44.02
 184 2024-09-19  -17.52 -29.25 243.92        34.02
 185 2024-09-20  -23.19 -31.92 238.25        37.02
 186 2024-09-23  -11.44 -26.67 250.00        30.53
 187 2024-09-24   -7.17 -24.67 254.27        28.27
 188 2024-09-25   -4.42 -23.38 257.02        26.80
 189 2024-09-26   -7.22 -25.05 254.22        27.94
 190 2024-09-27   -0.98 -21.86 260.46        24.89
 191 2024-09-30    0.19 -21.39 261.63        24.19
 192 2024-10-01   -3.42 -23.58 258.02        25.62
 193 2024-10-02  -12.42 -28.38 249.02        29.81
 194 2024-10-03  -20.78 -32.35 240.66        34.19
 195 2024-10-04  -11.36 -28.23 250.08        28.90
 196 2024-10-07  -20.61 -32.62 240.83        33.75
 197 2024-10-08  -16.94 -31.21 244.50        31.51
 198 2024-10-09  -20.39 -32.88 241.05        33.28
 199 2024-10-10  -22.67 -33.99 238.77        34.45
 200 2024-10-11  -43.64 -41.01 217.80        48.36
 201 2024-10-14  -42.28 -40.79 219.16        47.23
 202 2024-10-15  -41.87 -40.81 219.57        46.80
 203 2024-10-16  -40.11 -40.47 221.33        45.38
 204 2024-10-17  -40.55 -40.72 220.89        45.57
 205 2024-10-18  -40.74 -40.90 220.70        45.58
 206 2024-10-21  -42.59 -41.50 218.85        46.83
 207 2024-10-22  -43.47 -41.83 217.97        47.37
 208 2024-10-23  -47.79 -42.89 213.65        50.63
 209 2024-10-24   -0.96 -25.76 260.48        21.02
 210 2024-10-25    7.75 -20.95 269.19        17.12
 211 2024-10-28    1.07 -25.10 262.51        19.66
 212 2024-10-29   -1.92 -26.98 259.52        20.77
 213 2024-10-30   -3.89 -28.26 257.55        21.46
 214 2024-10-31  -11.59 -32.26 249.85        25.15
 215 2024-11-01  -12.46 -32.89 248.98        25.40
 216 2024-11-04  -18.60 -35.70 242.84        28.72
 217 2024-11-05  -10.00 -32.25 251.44        23.60
 218 2024-11-06   27.09  -9.78 288.53         8.97
 219 2024-11-07   35.47  -3.54 296.91         6.81
 220 2024-11-08   59.78  17.01 321.22         3.00
 221 2024-11-11   88.56  43.85 350.00         0.99
 222 2024-11-12   67.05  23.37 328.49         2.07
 223 2024-11-13   68.80  24.87 330.24         1.82
 224 2024-11-14   49.74   7.40 311.18         3.45
 225 2024-11-15   59.28  15.79 320.72         2.28
 226 2024-11-18   77.30  32.60 338.74         1.02
 227 2024-11-19   84.56  39.54 346.00         0.67
 228 2024-11-20   80.59  35.61 342.03         0.72
 229 2024-11-21   78.20  33.22 339.64         0.72
 230 2024-11-22   91.12  45.78 352.56         0.34
 231 2024-11-25   77.15  32.04 338.59         0.60
 232 2024-11-26   76.79  31.62 338.23         0.53
 233 2024-11-27   71.45  26.35 332.89         0.61
 234 2024-11-29   83.72  38.31 345.16         0.26
 235 2024-12-02   95.65  50.10 357.09         0.10
 236 2024-12-03   89.98  44.44 351.42         0.12
 237 2024-12-04   96.49  50.90 357.93         0.06
 238 2024-12-05  108.05  62.43 369.49         0.02
 239 2024-12-06  127.78  82.15 389.22         0.00
 240 2024-12-09  128.35  82.72 389.79         0.00
 241 2024-12-10  139.55  93.92 400.99         0.00
 242 2024-12-11  163.33 117.70 424.77         0.00
 243 2024-12-12  156.66 111.03 418.10         0.00
 244 2024-12-13  174.79 129.16 436.23         0.00
 245 2024-12-16  201.58 155.95 463.02         0.00
 246 2024-12-17  218.42 172.79 479.86         0.00
 247 2024-12-18  178.69 133.06 440.13         0.00
 248 2024-12-19  174.73 129.10 436.17         0.00
 249 2024-12-20  159.62 113.99 421.06         0.00
 250 2024-12-23  169.16 123.53 430.60         0.00
 251 2024-12-24  200.84 155.21 462.28         0.00
